staff_id,hotel_id,first_name,last_name,gender,position,department,position_level,hire_date,salary,annual_bonus,shift,email,phone,emergency_contact,emergency_relation,emergency_phone,total_experience_years,company_tenure_years,skills,languages,certifications,previous_hotels_worked,employment_type,education_level,work_schedule,performance_rating,vacation_days_remaining,sick_days_remaining,is_active,termination_date,termination_reason,date_of_birth,nationality,emergency_contact_name,emergency_contact_phone
S0001003459,5b08fb70-0e9e-4581-9704-6f2ad41af4da,지연,김,F,Sales Executive,Sales & Marketing,Managerial,2022-05-24,70800,5330.23,Day,지연.김@luxuryhotels.com,+1-501-749-5084,Rebecca Hays,Parent,+1-748-379-2648,14.7,3.7,"CRM Systems, Sales Strategy, Market Analysis, Brand Management, Event Planning, Social Media","Chinese (Native), Arabic (Basic)","CHIA, Hotel Management Certificate",2,Full-time,High School,3pm-11pm,Meets Expectations,12,5,True,,,1993-04-12,Asia Pacific,Rebecca Hays,+1-748-379-2648
S0001003460,5b08fb70-0e9e-4581-9704-6f2ad41af4da,นัสรุน,ธนรักษ์,M,Revenue Analyst,Sales & Marketing,Intermediate,2025-01-06,53100,6023.3,Day,นัสรุน.ธนรักษ์41@hotels.com,+1-736-313-6043,Sherri Stewart,Friend,+1-491-374-1700,4.7,1.1,"Event Planning, Digital Marketing, Negotiation, Presentation Skills, Brand Management, Sales Strategy",French (Native),,1,Full-time,Vocational Training,3pm-11pm,Meets Expectations,14,12,True,,,2004-12-12,Asia Pacific,Sherri Stewart,+1-491-374-1700
S0001003461,5b08fb70-0e9e-4581-9704-6f2ad41af4da,정훈,한,M,Event Planner,Sales & Marketing,Intermediate,2022-06-09,43100,3235.22,Day,정훈.한5@hotels.com,+1-767-991-6730,Harold Hall,Sibling,+1-587-230-5588,10.0,3.7,"Digital Marketing, Event Planning, Brand Management, Presentation Skills, Social Media, Negotiation",English (Native),,3,Full-time,High School,8am-4pm,Needs Improvement,11,12,True,,,1971-02-11,Asia Pacific,Harold Hall,+1-587-230-5588
S0001003462,5b08fb70-0e9e-4581-9704-6f2ad41af4da,千代,山崎,F,Sales Executive,Sales & Marketing,Managerial,2024-05-25,96000,9083.34,Day,千代.山崎@luxuryhotels.com,+1-730-771-4719,Cynthia Bray,Sibling,+1-474-609-8406,10.1,1.7,"Market Analysis, Brand Management, Social Media, Sales Strategy, Negotiation","Chinese (Native), Arabic (Intermediate), Spanish (Fluent), Russian (Intermediate)","ServSafe, Hotel Management Certificate, Food Safety Manager",1,Full-time,PhD,8am-4pm,Meets Expectations,14,8,True,,,1962-04-28,Asia Pacific,Cynthia Bray,+1-474-609-8406
S0001003463,5b08fb70-0e9e-4581-9704-6f2ad41af4da,영철,김,M,Event Planner,Sales & Marketing,Intermediate,2022-03-16,51500,6524.34,Day,영철김@hospitalitygroup.com,+1-951-503-4711,Jennifer Price,Parent,+1-336-592-6758,6.0,3.9,"Presentation Skills, Social Media, Brand Management",Arabic (Native),,1,Seasonal,Bachelor's Degree,Summer Only,Meets Expectations,14,6,True,,,1985-11-12,Asia Pacific,Jennifer Price,+1-336-592-6758
S0001003464,5b08fb70-0e9e-4581-9704-6f2ad41af4da,종수,백,M,Marketing Coordinator,Sales & Marketing,Intermediate,2023-03-05,53900,6967.56,Day,종수.백26@luxuryhotels.com,+1-626-895-3149,Courtney Glenn,Partner,+1-490-810-3167,7.8,2.9,"Digital Marketing, Negotiation, Brand Management",Arabic (Native),,2,Full-time,Vocational Training,9am-5pm,Meets Expectations,14,10,True,,,1971-11-17,Asia Pacific,Courtney Glenn,+1-490-810-3167
S0001003465,5b08fb70-0e9e-4581-9704-6f2ad41af4da,美加子,吉田,F,Revenue Analyst,Sales & Marketing,Intermediate,2025-03-27,49600,7041.08,Day,美吉田@hotelgroup.com,+1-536-315-2325,Matthew Sanchez,Sibling,+1-899-900-8820,7.4,0.9,"Brand Management, CRM Systems, Social Media, Sales Strategy",Spanish (Native),,3,Full-time,Vocational Training,10am-6pm,Meets Expectations,8,7,True,,,1964-07-24,Asia Pacific,Matthew Sanchez,+1-899-900-8820
S0001003466,5b08fb70-0e9e-4581-9704-6f2ad41af4da,मनीश,तमांग,M,Sales Executive,Sales & Marketing,Managerial,2023-07-20,90100,12919.6,Day,मनीशत@luxuryhotels.com,+1-394-811-5730,Julie Buck,Sibling,+1-738-935-9280,14.0,2.6,"Event Planning, Digital Marketing, CRM Systems, Brand Management, Social Media, Negotiation","Arabic (Native), Japanese (Basic), German (Fluent)","ServSafe, CHIA",3,Full-time,Bachelor's Degree,8am-4pm,Meets Expectations,12,10,True,,,1974-03-07,Asia Pacific,Julie Buck,+1-738-935-9280
S0001003467,5b08fb70-0e9e-4581-9704-6f2ad41af4da,상철,강,M,Marketing Coordinator,Sales & Marketing,Intermediate,2024-11-16,52000,5449.64,Day,상철.강@luxuryhotels.com,+1-956-355-6547,Timothy Johnson,Parent,+1-396-603-1550,5.7,1.2,"Event Planning, Market Analysis, Negotiation","English (Native), Arabic (Intermediate), Russian (Intermediate)",,2,Full-time,Bachelor's Degree,8am-4pm,Meets Expectations,13,12,True,,,1971-01-17,Asia Pacific,Timothy Johnson,+1-396-603-1550
S0001003468,5b08fb70-0e9e-4581-9704-6f2ad41af4da,凯,徐,M,Revenue Analyst,Sales & Marketing,Intermediate,2025-06-27,52600,6071.49,Day,凯.徐5@hotelgroup.com,+1-918-900-1782,Sydney Valdez,Parent,+1-279-925-7561,6.4,0.6,"Digital Marketing, Presentation Skills, Brand Management, Social Media",Arabic (Native),,1,Full-time,Master's Degree,10am-6pm,Exceeds Expectations,9,12,False,2025-11-27,End of Contract,2000-01-13,Asia Pacific,Sydney Valdez,+1-279-925-7561
S0001003469,5b08fb70-0e9e-4581-9704-6f2ad41af4da,เฉลิมรัฐ,ศาสตร์ศิลป์,M,Sales Executive,Sales & Marketing,Managerial,2023-03-23,77400,5917.64,Day,เฉลิมรัฐ.ศาสตร์ศิลป์32@hospitalitygroup.com,+1-720-741-2139,Danielle Hamilton,Friend,+1-536-819-4049,11.6,2.9,"Negotiation, Digital Marketing, Market Analysis, Social Media","Japanese (Native), English (Fluent)",CHIA,1,Full-time,PhD,8am-4pm,Needs Improvement,14,5,True,,,1981-03-20,Asia Pacific,Danielle Hamilton,+1-536-819-4049
S0001003470,5b08fb70-0e9e-4581-9704-6f2ad41af4da,इला,मुख़र्जी,F,Sales Executive,Sales & Marketing,Managerial,2023-06-27,82700,8990.56,Day,इला.मुख़र्जी43@hotels.com,+1-890-897-9859,Shannon Anderson,Friend,+1-946-552-3085,9.9,2.6,"Brand Management, Negotiation, Market Analysis, Social Media, Event Planning",Chinese (Native),Food Safety Manager,2,Full-time,Vocational Training,8am-4pm,Meets Expectations,14,8,False,2026-01-31,Retired,2005-08-27,Asia Pacific,Shannon Anderson,+1-946-552-3085
S0001003471,5b08fb70-0e9e-4581-9704-6f2ad41af4da,裕樹,井上,M,Event Planner,Sales & Marketing,Intermediate,2025-12-15,40900,4158.73,Day,裕樹.井上@hotels.com,+1-714-812-3048,Peggy Donaldson,Parent,+1-595-790-4101,4.3,0.2,"Social Media, Sales Strategy, Negotiation, Event Planning, Brand Management","Chinese (Native), Spanish (Basic), French (Fluent), English (Fluent)",,4,Full-time,High School,11pm-7am,Meets Expectations,6,9,False,,Relocated,1972-11-20,Asia Pacific,Peggy Donaldson,+1-595-790-4101
S0001003472,5b08fb70-0e9e-4581-9704-6f2ad41af4da,जयन्ती,नारायण,F,Event Planner,Sales & Marketing,Intermediate,2024-05-25,50500,7508.4,Day,जयन्ती.नारायण27@hotelgroup.com,+1-205-468-4967,Mr. Randall Blair,Spouse,+1-779-296-6610,6.3,1.7,"Sales Strategy, Negotiation, Market Analysis, Digital Marketing, Presentation Skills","German (Native), French (Basic), Spanish (Intermediate)",,4,Part-time,High School,Weekends Only,Exceeds Expectations,12,9,True,,,1984-06-23,Asia Pacific,Mr. Randall Blair,+1-779-296-6610
S0001003473,5b08fb70-0e9e-4581-9704-6f2ad41af4da,智也,佐々木,M,Revenue Analyst,Sales & Marketing,Intermediate,2022-02-22,44300,3549.72,Day,智佐々木@hospitalitygroup.com,+1-351-488-6927,Penny Wright,Sibling,+1-682-827-6622,7.0,4.0,"Event Planning, Digital Marketing, Social Media, CRM Systems","Arabic (Native), Japanese (Basic), Russian (Basic), German (Fluent)",,0,Seasonal,High School,Winter Only,Meets Expectations,10,8,True,,,1989-04-03,Asia Pacific,Penny Wright,+1-682-827-6622
S0001003474,5b08fb70-0e9e-4581-9704-6f2ad41af4da,桃子,小林,F,Event Planner,Sales & Marketing,Intermediate,2024-04-22,38700,1863.31,Day,桃子小@luxuryhotels.com,+1-480-725-1748,David Madden,Parent,+1-786-214-4106,5.9,1.8,"Digital Marketing, Event Planning, Social Media, CRM Systems, Sales Strategy",English (Native),,4,Full-time,Vocational Training,8am-4pm,Meets Expectations,15,11,True,,,1990-11-22,Asia Pacific,David Madden,+1-786-214-4106
S0001003475,5b08fb70-0e9e-4581-9704-6f2ad41af4da,주원,이,M,Sales Executive,Sales & Marketing,Managerial,2024-08-17,106400,15647.04,Day,주원.이@hotels.com,+1-642-653-3040,Jared Long,Sibling,+1-897-318-2724,12.1,1.5,"Digital Marketing, Negotiation, Brand Management, Sales Strategy, Event Planning, Presentation Skills",German (Native),CPR Certified,4,Full-time,High School,9am-5pm,Meets Expectations,15,6,True,,,2003-12-07,Asia Pacific,Jared Long,+1-897-318-2724
S0001003476,5b08fb70-0e9e-4581-9704-6f2ad41af4da,미정,이,F,Event Planner,Sales & Marketing,Intermediate,2024-05-14,40800,3497.75,Day,미정.이58@hotelgroup.com,+1-762-703-5047,David Davis,Partner,+1-485-403-2750,6.4,1.7,"Market Analysis, Negotiation, Event Planning, Presentation Skills, Sales Strategy",Spanish (Native),,3,Part-time,High School,Evenings,Meets Expectations,10,6,False,2025-10-28,Terminated,2000-07-11,Asia Pacific,David Davis,+1-485-403-2750
S0001003477,5b08fb70-0e9e-4581-9704-6f2ad41af4da,雷,尹,M,Event Planner,Sales & Marketing,Intermediate,2024-10-03,36800,3102.67,Day,雷尹@hotels.com,+1-780-478-4085,Christopher Mueller,Sibling,+1-736-832-8121,5.7,1.4,"Presentation Skills, Market Analysis, Event Planning, Brand Management, Social Media",Chinese (Native),,0,Full-time,High School,10am-6pm,Meets Expectations,15,12,True,,,2003-05-16,Asia Pacific,Christopher Mueller,+1-736-832-8121
S0001003478,5b08fb70-0e9e-4581-9704-6f2ad41af4da,승현,김,M,Marketing Coordinator,Sales & Marketing,Intermediate,2024-04-10,50600,2222.14,Day,승김@hospitalitygroup.com,+1-536-940-5153,Barbara Howard,Spouse,+1-307-822-8010,4.0,1.8,"CRM Systems, Event Planning, Presentation Skills, Brand Management",French (Native),,2,Full-time,High School,8am-4pm,Meets Expectations,12,11,False,2025-01-27,End of Contract,2001-03-03,Asia Pacific,Barbara Howard,+1-307-822-8010
S0001003479,5b08fb70-0e9e-4581-9704-6f2ad41af4da,京助,高橋,M,Revenue Analyst,Sales & Marketing,Intermediate,2024-04-05,47400,6692.27,Day,京助.高橋65@hospitalitygroup.com,+1-755-946-1858,Jack Bell,Parent,+1-673-635-8373,7.9,1.9,"Negotiation, Presentation Skills, CRM Systems, Market Analysis, Event Planning","Russian (Native), Arabic (Intermediate), Spanish (Basic), Japanese (Intermediate)",,1,Full-time,Vocational Training,10am-6pm,Meets Expectations,13,10,False,2024-09-02,Resigned,1997-12-22,Asia Pacific,Jack Bell,+1-673-635-8373
S0001003480,5b08fb70-0e9e-4581-9704-6f2ad41af4da,建国,卢,M,Sales Executive,Sales & Marketing,Managerial,2023-09-18,70100,5632.03,Day,建卢@hotelgroup.com,+1-357-782-4054,Paul Carr,Partner,+1-395-563-5728,7.7,2.4,"Social Media, Digital Marketing, Market Analysis","Arabic (Native), English (Fluent), French (Fluent)",CRDE,1,Full-time,High School,11pm-7am,Exceeds Expectations,14,6,True,,,1999-10-13,Asia Pacific,Paul Carr,+1-395-563-5728
S0001003481,5b08fb70-0e9e-4581-9704-6f2ad41af4da,देवदास,साहा,M,Security Director,Security,Executive,2024-09-08,126500,10516.64,Night,देवदासस@hotels.com,+1-608-905-8265,Danielle Weaver,Sibling,+1-216-797-7085,10.6,1.4,"Patrol, Risk Assessment, CPR Certified, Conflict Resolution",German (Native),"Food Safety Manager, ServSafe",1,Full-time,High School,9am-5pm,Needs Improvement,13,6,True,,,1971-11-20,Asia Pacific,Danielle Weaver,+1-216-797-7085
S0001003482,5b08fb70-0e9e-4581-9704-6f2ad41af4da,稔,佐々木,M,Security Supervisor,Security,Senior,2025-02-20,66000,2155.86,Night,稔佐@hotelgroup.com,+1-981-504-4270,Jamie Martin,Friend,+1-247-874-4785,9.9,1.0,"Access Control, Patrol, Emergency Procedures, CPR Certified, Surveillance",French (Native),"First Aid Certified, Wine & Spirits Certification",4,Part-time,Master's Degree,20 hours/week,Needs Improvement,7,12,True,,,1976-09-12,Asia Pacific,Jamie Martin,+1-247-874-4785
S0001003483,5b08fb70-0e9e-4581-9704-6f2ad41af4da,상철,장,M,CCTV Operator,Security,Intermediate,2024-03-02,48000,2044.01,24-hour,상장@luxuryhotels.com,+1-402-571-5205,Walter Arnold,Partner,+1-508-324-2903,7.5,1.9,"Patrol, CPR Certified, Fire Safety","German (Native), Arabic (Basic), English (Intermediate)",,2,Full-time,PhD,9am-5pm,Exceeds Expectations,10,11,True,,,1962-03-20,Asia Pacific,Walter Arnold,+1-508-324-2903
S0001003484,5b08fb70-0e9e-4581-9704-6f2ad41af4da,花子,青木,F,Security Supervisor,Security,Senior,2024-07-20,82400,4451.46,Rotating,花子.青木@hotels.com,+1-909-335-9277,Anthony Cox,Spouse,+1-551-621-7061,12.0,1.6,"First Aid, Risk Assessment, Surveillance, Fire Safety, CPR Certified","Spanish (Native), English (Fluent)",First Aid Certified,3,Full-time,Vocational Training,8am-4pm,Meets Expectations,12,12,True,,,1997-01-06,Asia Pacific,Anthony Cox,+1-551-621-7061
S0001003485,5b08fb70-0e9e-4581-9704-6f2ad41af4da,凯,田,M,Security Supervisor,Security,Senior,2024-06-11,64500,8446.84,24-hour,凯.田@hotels.com,+1-558-849-5761,Jack Jimenez,Partner,+1-786-886-9734,7.6,1.7,"Surveillance, First Aid, Access Control, Risk Assessment, Patrol, Fire Safety","Chinese (Native), Arabic (Intermediate), English (Basic)","Food Handler, First Aid Certified",3,Full-time,Bachelor's Degree,3pm-11pm,Needs Improvement,14,11,True,,,1992-04-20,Asia Pacific,Jack Jimenez,+1-786-886-9734
S0001003486,5b08fb70-0e9e-4581-9704-6f2ad41af4da,帆,吴,M,Security Guard,Security,Intermediate,2022-02-18,45700,3669.82,Night,帆.吴@hotels.com,+1-966-807-6056,Wayne Hawkins,Friend,+1-526-641-9670,10.5,4.0,"Risk Assessment, Patrol, First Aid","Russian (Native), French (Intermediate), Japanese (Basic), Spanish (Basic)",,0,Full-time,Vocational Training,3pm-11pm,Meets Expectations,10,12,True,,,1990-01-15,Asia Pacific,Wayne Hawkins,+1-526-641-9670
S0001003487,5b08fb70-0e9e-4581-9704-6f2ad41af4da,浩,胡,M,Security Guard,Security,Intermediate,2024-05-21,40600,4478.78,Night,浩胡@hotels.com,+1-827-945-7116,Robert Poole,Friend,+1-501-947-7602,7.2,1.7,"Patrol, First Aid, Access Control",English (Native),,0,Full-time,Vocational Training,9am-5pm,Meets Expectations,12,12,True,,,1961-03-02,Asia Pacific,Robert Poole,+1-501-947-7602
S0001003488,5b08fb70-0e9e-4581-9704-6f2ad41af4da,अनिश,कपूर,M,CCTV Operator,Security,Intermediate,2023-08-17,47400,3450.01,24-hour,अनिश.कपूर77@luxuryhotels.com,+1-395-785-6216,Bradley Bentley,Friend,+1-218-312-6001,4.7,2.5,"Risk Assessment, Conflict Resolution, Surveillance","Chinese (Native), Japanese (Fluent), German (Basic), Russian (Fluent)",,3,Full-time,Bachelor's Degree,10am-6pm,Exceeds Expectations,12,7,True,,,2005-05-16,Asia Pacific,Bradley Bentley,+1-218-312-6001
S0001003489,5b08fb70-0e9e-4581-9704-6f2ad41af4da,春梅,叶,F,CCTV Operator,Security,Intermediate,2022-02-13,54500,2008.39,Night,春叶@luxuryhotels.com,+1-851-654-6120,Matthew Tucker,Friend,+1-692-274-8008,10.2,4.0,"Emergency Procedures, Conflict Resolution, First Aid, Surveillance, Fire Safety",Arabic (Native),,0,Part-time,Master's Degree,Weekends Only,Unsatisfactory,12,6,False,2025-08-12,Resigned,1970-12-08,Asia Pacific,Matthew Tucker,+1-692-274-8008
S0001003490,5b08fb70-0e9e-4581-9704-6f2ad41af4da,अंकिता,आचार्य,F,Security Guard,Security,Intermediate,2025-03-06,38800,5212.04,Night,अआचार्य@hotels.com,+1-360-559-4434,Matthew Randall,Friend,+1-270-560-5038,4.1,0.9,"Patrol, Fire Safety, Risk Assessment, Conflict Resolution, Emergency Procedures","Japanese (Native), English (Fluent), Chinese (Basic)",,0,Full-time,High School,11pm-7am,Meets Expectations,5,7,True,,,1985-11-15,Asia Pacific,Matthew Randall,+1-270-560-5038
S0001003491,5b08fb70-0e9e-4581-9704-6f2ad41af4da,성수,이,M,CCTV Operator,Security,Intermediate,2024-03-10,53200,5997.53,24-hour,성이@hotelgroup.com,+1-601-481-7517,Amber Arias,Friend,+1-390-788-5337,8.6,1.9,"Conflict Resolution, Access Control, Surveillance, Fire Safety, Patrol, First Aid","Arabic (Native), French (Intermediate), German (Fluent)",,3,Seasonal,Bachelor's Degree,Winter Only,Meets Expectations,11,11,True,,,1996-03-16,Asia Pacific,Amber Arias,+1-390-788-5337
S0001003492,5b08fb70-0e9e-4581-9704-6f2ad41af4da,直樹,青木,M,CCTV Operator,Security,Intermediate,2025-09-20,51500,7500.22,Night,直青木@hotels.com,+1-813-265-6153,Carmen Esparza,Partner,+1-401-595-7769,2.6,0.4,"Fire Safety, Access Control, CPR Certified, Patrol, Surveillance","Arabic (Native), French (Fluent), German (Intermediate)",,3,Part-time,Vocational Training,Evenings,Needs Improvement,8,11,True,,,1982-08-09,Asia Pacific,Carmen Esparza,+1-401-595-7769
S0001003493,5b08fb70-0e9e-4581-9704-6f2ad41af4da,翔太,鈴木,M,Security Guard,Security,Intermediate,2022-03-10,56900,2655.28,24-hour,翔太.鈴木34@luxuryhotels.com,+1-630-316-8517,Melissa Johnson,Partner,+1-323-782-8478,10.7,3.9,"Access Control, Emergency Procedures, Surveillance","Japanese (Native), English (Intermediate), Spanish (Intermediate)",,1,Full-time,Master's Degree,7am-3pm,Meets Expectations,10,10,True,,,1997-12-06,Asia Pacific,Melissa Johnson,+1-323-782-8478
S0001003494,5b08fb70-0e9e-4581-9704-6f2ad41af4da,चन्दना,जयरामन,F,Security Supervisor,Security,Senior,2023-05-14,74500,8591.98,Night,चन्दना.जयरामन@hotelgroup.com,+1-382-538-2436,Shane Hooper,Partner,+1-979-497-9178,10.6,2.7,"Access Control, Surveillance, Fire Safety, First Aid","French (Native), Japanese (Fluent), Chinese (Basic)",,3,Full-time,Master's Degree,10am-6pm,Exceeds Expectations,10,11,True,,,1972-03-02,Asia Pacific,Shane Hooper,+1-979-497-9178
S0001003495,5b08fb70-0e9e-4581-9704-6f2ad41af4da,순옥,류,F,Security Guard,Security,Intermediate,2025-04-01,45100,2992.9,24-hour,순옥.류@hospitalitygroup.com,+1-311-945-5498,Sharon Walsh,Parent,+1-201-627-4436,3.9,0.9,"Conflict Resolution, Risk Assessment, CPR Certified, First Aid, Access Control",Spanish (Native),,2,Seasonal,High School,Summer Only,Exceeds Expectations,9,12,True,,,2003-08-21,Asia Pacific,Sharon Walsh,+1-201-627-4436
S0001003496,5b08fb70-0e9e-4581-9704-6f2ad41af4da,พัสวี,ขันธุลา,F,Security Guard,Security,Intermediate,2025-09-02,42800,4243.89,Night,พัสวีข@luxuryhotels.com,+1-308-775-5970,Linda Harrison,Sibling,+1-607-324-1821,2.6,0.4,"First Aid, Risk Assessment, Fire Safety, Access Control, Conflict Resolution","English (Native), Arabic (Intermediate), French (Basic)",,3,Full-time,High School,11pm-7am,Meets Expectations,10,11,True,,,2004-03-20,Asia Pacific,Linda Harrison,+1-607-324-1821
S0001003497,5b08fb70-0e9e-4581-9704-6f2ad41af4da,加奈,渡辺,F,CCTV Operator,Security,Intermediate,2022-03-27,33000,4776.42,24-hour,加奈.渡辺@hospitalitygroup.com,+1-585-519-7520,Yolanda Miller,Parent,+1-479-654-5829,6.3,3.9,"Conflict Resolution, First Aid, Risk Assessment, Surveillance, Patrol","Arabic (Native), German (Basic)",,3,Full-time,High School,7am-3pm,Meets Expectations,10,12,True,,,1960-03-18,Asia Pacific,Yolanda Miller,+1-479-654-5829
S0001003498,5b08fb70-0e9e-4581-9704-6f2ad41af4da,云,朱,F,Security Guard,Security,Intermediate,2025-04-19,38900,1613.17,24-hour,云.朱35@luxuryhotels.com,+1-546-401-1553,Victoria Walters,Friend,+1-760-843-4221,2.9,0.8,"Surveillance, First Aid, Conflict Resolution, Risk Assessment, Fire Safety, Emergency Procedures",Japanese (Native),,3,Part-time,High School,Weekends Only,Exceeds Expectations,10,8,True,,,1961-04-09,Asia Pacific,Victoria Walters,+1-760-843-4221
S0001003499,5b08fb70-0e9e-4581-9704-6f2ad41af4da,정웅,윤,M,Security Guard,Security,Intermediate,2023-05-27,43900,5670.86,Night,정웅.윤51@hotels.com,+1-355-978-7840,Trevor Brown,Friend,+1-849-270-4638,9.3,2.7,"Emergency Procedures, Fire Safety, Patrol, Conflict Resolution, First Aid",Russian (Native),,1,Full-time,High School,11pm-7am,Meets Expectations,13,11,True,,,1994-03-12,Asia Pacific,Trevor Brown,+1-849-270-4638
S0001003500,5b08fb70-0e9e-4581-9704-6f2ad41af4da,सुदर्शना,प्रसाद,F,Security Supervisor,Security,Senior,2023-02-22,77600,6555.68,24-hour,सुदर्शना.प्रसाद56@hospitalitygroup.com,+1-351-419-7588,Stephen Vargas,Friend,+1-580-518-8701,10.3,3.0,"Risk Assessment, CPR Certified, Patrol, Access Control, First Aid, Emergency Procedures","Russian (Native), English (Intermediate), German (Basic), Chinese (Fluent)",,0,Part-time,High School,Weekends Only,Meets Expectations,14,12,False,2025-03-02,End of Contract,1980-07-26,Asia Pacific,Stephen Vargas,+1-580-518-8701
S0001003501,5b08fb70-0e9e-4581-9704-6f2ad41af4da,승현,최,M,Security Supervisor,Security,Senior,2023-03-04,51000,7289.44,Rotating,승현최@hotels.com,+1-300-467-9273,Christine Richardson,Partner,+1-227-856-8149,8.1,2.9,"Risk Assessment, Patrol, First Aid, Emergency Procedures","Russian (Native), English (Basic), Japanese (Intermediate)",,1,Full-time,High School,10am-6pm,Meets Expectations,12,9,True,,,1981-05-14,Asia Pacific,Christine Richardson,+1-227-856-8149
S0001003502,5b08fb70-0e9e-4581-9704-6f2ad41af4da,อรรจน์,สุวรรณหงษ์,M,Security Supervisor,Security,Senior,2023-10-06,88200,11702.68,24-hour,อรรจน์.สุวรรณหงษ์@hotels.com,+1-894-322-6445,Bill Moreno,Partner,+1-295-967-2358,8.4,2.4,"Risk Assessment, First Aid, Fire Safety, Emergency Procedures, Access Control",Russian (Native),Wine & Spirits Certification,3,Full-time,Bachelor's Degree,9am-5pm,Meets Expectations,12,9,True,,,1994-05-17,Asia Pacific,Bill Moreno,+1-295-967-2358
S0001003503,5b08fb70-0e9e-4581-9704-6f2ad41af4da,นพรัตน์,ศรีวงค์,F,CCTV Operator,Security,Intermediate,2024-01-09,49300,3918.89,Rotating,นพรัตน์.ศรีวงค์@luxuryhotels.com,+1-442-405-3315,Chad Guerrero,Partner,+1-859-469-5097,7.2,2.1,"Risk Assessment, Surveillance, CPR Certified, First Aid, Emergency Procedures","Arabic (Native), French (Fluent), English (Fluent), Japanese (Basic)",,2,Full-time,Vocational Training,8am-4pm,Meets Expectations,13,8,False,2026-01-09,End of Contract,1985-10-15,Asia Pacific,Chad Guerrero,+1-859-469-5097
S0001003504,5b08fb70-0e9e-4581-9704-6f2ad41af4da,さゆり,佐藤,F,Security Guard,Security,Intermediate,2025-10-11,48200,6388.77,Night,さゆり.佐藤64@hotels.com,+1-253-760-4668,Erica Smith,Spouse,+1-816-746-9860,2.7,0.3,"Access Control, Conflict Resolution, Surveillance","Arabic (Native), German (Fluent), Russian (Fluent), English (Intermediate)",,1,Part-time,Bachelor's Degree,Evenings,Needs Improvement,7,10,True,,,1967-07-21,Asia Pacific,Erica Smith,+1-816-746-9860
S0001003505,5b08fb70-0e9e-4581-9704-6f2ad41af4da,裕樹,阿部,M,Security Supervisor,Security,Senior,2023-03-22,67200,5144.56,Night,裕樹.阿部@hotelgroup.com,+1-519-477-5258,Leroy Delgado,Friend,+1-430-305-8671,13.1,2.9,"Conflict Resolution, Emergency Procedures, Surveillance, Risk Assessment, Fire Safety, CPR Certified",Japanese (Native),,1,Full-time,Vocational Training,7am-3pm,Meets Expectations,10,5,True,,,1967-08-19,Asia Pacific,Leroy Delgado,+1-430-305-8671
S0001003506,5b08fb70-0e9e-4581-9704-6f2ad41af4da,काम,भरद्वाज,M,CCTV Operator,Security,Intermediate,2025-04-08,57900,5276.28,Rotating,काम.भरद्वाज@hospitalitygroup.com,+1-420-806-2724,Brandon Hill,Partner,+1-775-330-3279,4.6,0.8,"Conflict Resolution, Surveillance, Emergency Procedures, Patrol, Risk Assessment, First Aid","Russian (Native), Chinese (Basic)",,4,Full-time,Bachelor's Degree,8am-4pm,Meets Expectations,6,9,True,,,1960-11-02,Asia Pacific,Brandon Hill,+1-775-330-3279
S0001003507,0135ec0c-b013-43a1-a93e-9d9e4ef334e5,Julien,Bélanger,M,Front Office Manager,Front Desk,Managerial,2016-06-13,94900,8950.52,Afternoon,jbélanger@hotels.com,+1-806-796-2291,William Lozano,Sibling,+1-793-311-4774,19.8,9.7,"Multi-tasking, Communication, Customer Service","French (Native), Japanese (Basic)","Food Safety Manager, Certified Hotel Administrator",3,Full-time,High School,9am-5pm,Meets Expectations,16,12,True,,,1953-07-06,North America,William Lozano,+1-793-311-4774
S0001003508,0135ec0c-b013-43a1-a93e-9d9e4ef334e5,John,James,M,Concierge,Front Desk,Intermediate,2020-09-16,48000,4374.85,Night,johnj@luxuryhotels.com,+1-261-869-2609,James Howell,Friend,+1-573-889-6215,9.5,5.4,"Conflict Resolution, Communication, Attention to Detail, Reservation Systems, Multi-tasking, Customer Service","Spanish (Native), French (Fluent), Chinese (Fluent)",,1,Full-time,High School,10am-6pm,Meets Expectations,16,10,True,,,1972-03-26,North America,James Howell,+1-573-889-6215
S0001003509,0135ec0c-b013-43a1-a93e-9d9e4ef334e5,Timothée,Gagnon,M,Bellhop,Front Desk,Entry Level,2024-08-05,29300,2419.63,Rotating,tgagnon@hotels.com,+1-267-902-7949,Julie Peterson,Friend,+1-507-870-3558,1.6,1.5,"Communication, Reservation Systems, Computer Skills, Attention to Detail, Conflict Resolution, Problem Solving","Arabic (Native), Japanese (Intermediate)",,2,Seasonal,Bachelor's Degree,Summer Only,Meets Expectations,10,9,True,,,1962-02-05,North America,Julie Peterson,+1-507-870-3558
S0001003510,0135ec0c-b013-43a1-a93e-9d9e4ef334e5,Margot,Trépanier,F,Bell Captain,Front Desk,Intermediate,2025-04-07,71500,6925.05,Morning,mtrépanier@luxuryhotels.com,+1-566-538-3783,Jessica Moreno,Parent,+1-904-919-6206,6.7,0.8,"Computer Skills, Multi-tasking, Communication, Problem Solving, Attention to Detail","German (Native), Russian (Intermediate)",,1,Full-time,Vocational Training,10am-6pm,Needs Improvement,10,10,True,,,1994-10-11,North America,Jessica Moreno,+1-904-919-6206
